,fidelity,radius,thickness,npanels,theta,length,height,z_offset,volume,nC_Ge77,prod_rate_Ge77[nuc/(kg*yr)],total_nC_Ge77[cts],nC_Ge77_scaling,time_0[ms],x_0[m],y_0[m],z_0[m],r_0[m],L_0[m],px_0[m],py_0[m],pz_0[m],ekin_0[eV],edep_0[eV],vol_0,time_t[ms],x_t[m],y_t[m],z_t[m],r_t[m],L_t[m],px_t[m],py_t[m],pz_t[m],ekin_t[eV],edep_t[eV],ln(E0vsET),vol_t,nsteps,nC_A,nC_Z,nsec,nsec_with_nC,nprimaries,weights
4477,0.0,208.7,6.4,22.0,16.7,26.2,300.0,42.0,2967235.08,0,0.0,0,0.0059768755052057,0.0,2.31995925,-0.38957801,-2.21699015,2.3524416990727155,3.2324955178210453,0.87145994,-0.49029614,-0.01293294,3285170.92436277,0.0,7.0,0.33433864,2.75877544,-1.67721857,-1.59675098,3.228607139293977,3.6018769762487723,0.0,-0.0,-0.0,0.0,0.0,31.12302489127505,4.0,36,0,0,2,0,1.0,4e-05
4478,0.0,208.7,6.4,22.0,16.7,26.2,300.0,42.0,2967235.08,0,0.0,0,0.0059768755052057,0.0,-1.18687944,0.52536347,0.49863066,1.2979559240225202,1.3904395405040777,0.715602943,-0.665719012,0.21149616,241822.711,0.0,7.0,13.8289991,-1.24011143,0.19448372,0.94051026,1.255269005497102,1.568521541237783,-0.0,-0.0,-0.0,0.0,0.0,28.51405578844168,15.0,35,2,1,1,0,1.0,4e-05
4479,0.0,208.7,6.4,22.0,16.7,26.2,300.0,42.0,2967235.08,0,0.0,0,0.0059768755052057,0.0,-0.5683547,0.61671729,-0.55857858,0.8386699474745916,1.0076593228030248,0.06748134,-0.89084556,0.44926658,2070528.51797425,0.0,11.0,0.00668646,-0.53256529,0.49496859,-0.52424635,0.7270623722895939,0.8963559163009381,0.0,-0.0,0.0,0.0,0.0,30.661410106303453,11.0,3,0,0,2,0,1.0,4e-05
4480,0.0,208.7,6.4,22.0,16.7,26.2,300.0,42.0,2967235.08,0,0.0,0,0.0059768755052057,0.0,0.37283237,0.57370422,-3.69,0.6842079421971257,3.752897614932444,0.814151743,-0.50121472,0.29315652,1133101.55024772,0.0,7.0,42.8734419,0.52384679,-0.34542284,-4.36942116,0.6274809939647333,4.414246670864998,-0.0,-0.0,0.0,0.0,0.0,30.05856481647336,3.0,15,156,64,1,0,1.0,4e-05
4481,0.0,208.7,6.4,22.0,16.7,26.2,300.0,42.0,2967235.08,0,0.0,0,0.0059768755052057,0.0,0.2635254,1.19131836,-1.48765043,1.2201168269138205,1.92400334542262,-0.771861105,-0.185615768,0.608093103,425933.56,0.0,7.0,295.962331,-0.82947117,1.79915735,0.18594827,1.9811586488517752,1.989865912828345,0.0,0.0,0.0,0.0,0.0,29.080134301605103,7.0,58,41,18,1,0,1.0,4e-05
4482,0.0,208.7,6.4,22.0,16.7,26.2,300.0,42.0,2967235.08,0,0.0,0,0.0059768755052057,0.0,2.18111487,-0.24363359,-1.07717153,2.1946797949385246,2.4447735902029755,0.62440761,0.58528552,-0.51725816,6134202.76141937,0.0,7.0,0.00200799,2.22385626,-0.20357015,-1.11257842,2.2331541530114327,2.494956555085059,0.0,0.0,-0.0,0.0,0.0,31.74748632940244,7.0,2,0,0,2,0,1.0,4e-05
4483,0.0,208.7,6.4,22.0,16.7,26.2,300.0,42.0,2967235.08,0,0.0,0,0.0059768755052057,0.0,0.30081675,1.42295796,-3.49779032,1.4544071207911229,3.788117896224143,-0.44391465,-0.05395299,-0.89444332,710340.71218742,0.0,7.0,27.5076911,-0.0648,1.33129882,-4.40189242,1.332874933417758,4.599262165324657,0.0,-0.0,-0.0,0.0,0.0,29.591595661192308,3.0,7,158,64,1,0,1.0,4e-05
4484,0.0,208.7,6.4,22.0,16.7,26.2,300.0,42.0,2967235.08,0,0.0,0,0.0059768755052057,0.0,2.28648051,-0.77904597,-2.54171025,2.415554956109072,3.506450732712234,-0.345864399,-0.33971671,-0.87462585,2126628.37913535,0.0,7.0,0.03013362,2.217972,-0.69154248,-2.81795838,2.3232801799241845,3.652193892147674,-0.0,0.0,-0.0,0.0,0.0,30.688144013907745,7.0,7,0,0,2,0,1.0,4e-05
4485,0.0,208.7,6.4,22.0,16.7,26.2,300.0,42.0,2967235.08,0,0.0,0,0.0059768755052057,0.0,-1.48660129,0.97351015,-1.33934489,1.7769933617159877,2.2252078873561003,0.68971273,0.42972107,0.58278311,4308655.00269147,0.0,7.0,0.03451452,-1.09415527,1.48168122,-0.60428109,1.8418889740072448,1.9384815264275923,0.0,0.0,0.0,0.0,0.0,31.39423199999532,7.0,4,0,0,2,0,1.0,4e-05
4486,0.0,208.7,6.4,22.0,16.7,26.2,300.0,42.0,2967235.08,0,0.0,0,0.0059768755052057,0.0,-0.80280189,-0.22492596,-1.10261365,0.8337161159948233,1.3823311554167532,-0.737001982,-0.255047833,0.625922265,820765.226,0.0,11.0,558.586115,-0.56887645,-1.08540057,-2.2702221,1.2254447407863511,2.579849452206337,0.0,-0.0,-0.0,0.0,0.0,29.73608803747509,7.0,69,41,18,1,0,1.0,4e-05
