,Sample,Mode,Radius[cm],Thickness[cm],NPanels,Theta[deg],Length[cm],Ge-77[nevents],Ge-77_CNP,Ge-77_CNP_err,rGe77[nuc/(kg*yr)]
66,66,0.0,236.2,9.3,12.0,4.2,54.6,66.0,0.1703,0.0191,0.1535
67,67,0.0,135.1,8.8,109.0,20.7,9.6,38.0,0.2062,0.0193,0.0874
68,68,0.0,233.5,10.4,42.0,66.7,10.3,32.0,0.2667,0.0246,0.0792
69,69,0.0,117.3,5.2,232.0,84.1,3.1,74.0,0.2974,0.0221,0.1749
70,70,0.0,241.9,14.6,117.0,20.2,15.6,48.0,0.2306,0.0226,0.1128
71,71,0.0,155.6,7.4,59.0,16.4,35.4,50.0,0.179,0.0182,0.1168
72,72,0.0,135.3,5.7,35.0,42.7,2.6,74.0,0.1808,0.0182,0.1694
73,73,0.0,238.0,9.4,80.0,18.4,27.5,46.0,0.2093,0.0215,0.109
74,74,0.0,202.3,7.5,143.0,64.9,3.9,36.0,0.2522,0.0222,0.0826
75,75,0.0,224.6,13.9,16.0,6.9,39.7,36.0,0.1588,0.018,0.0839
76,76,0.0,148.4,8.5,15.0,1.0,6.6,68.0,0.1706,0.0178,0.1556
77,77,0.0,244.9,14.5,338.0,16.3,2.6,54.0,0.5542,0.0289,0.1269
78,78,0.0,172.9,9.2,193.0,81.5,4.4,50.0,0.3086,0.0234,0.115
79,79,0.0,146.4,11.8,316.0,73.3,3.3,70.0,0.4706,0.0262,0.161
80,80,0.0,227.7,5.5,70.0,24.4,10.8,62.0,0.1865,0.0196,0.1448
81,81,0.0,233.0,15.3,148.0,12.1,5.4,50.0,0.2201,0.0215,0.119
82,82,0.0,211.3,14.4,132.0,74.6,5.2,60.0,0.2829,0.0239,0.1429
83,83,0.0,185.2,5.2,115.0,80.1,14.3,46.0,0.2429,0.0217,0.1072
84,84,0.0,210.8,10.4,22.0,0.2,77.5,36.0,0.1633,0.0184,0.0893
85,85,0.0,252.4,5.4,26.0,2.1,99.0,56.0,0.2104,0.0228,0.1313
86,86,0.0,251.8,12.8,32.0,5.8,3.3,78.0,0.1692,0.0191,0.1829
87,87,0.0,156.2,11.9,203.0,8.6,2.2,56.0,0.208,0.0196,0.1302
88,88,0.0,231.5,7.2,25.0,4.9,16.4,60.0,0.1552,0.0178,0.1403
89,89,0.0,235.0,8.2,5.0,16.8,36.0,56.0,0.178,0.0195,0.1287
90,90,0.0,220.6,6.1,292.0,17.5,5.5,40.0,0.3704,0.0265,0.0942
91,91,0.0,174.0,12.2,112.0,45.6,5.1,54.0,0.1941,0.0193,0.1262
92,92,0.0,242.4,7.5,10.0,17.4,4.6,76.0,0.1589,0.0184,0.1748
93,93,0.0,108.6,13.0,34.0,49.4,3.7,70.0,0.1972,0.019,0.1621
94,94,0.0,108.2,13.8,148.0,10.8,2.9,44.0,0.2223,0.0198,0.1064
95,95,0.0,210.7,5.9,28.0,17.6,37.9,50.0,0.161,0.0179,0.1157
96,96,0.0,99.3,8.5,21.0,63.8,3.6,74.0,0.1968,0.019,0.1718
97,97,0.0,166.7,14.8,355.0,10.4,2.1,38.0,0.3969,0.0253,0.0884
98,98,0.0,139.3,5.2,231.0,57.2,5.5,46.0,0.2759,0.0218,0.1052
99,99,0.0,194.7,14.1,123.0,31.4,4.8,46.0,0.1909,0.0193,0.1074
100,100,0.0,248.2,9.9,11.0,65.3,6.7,66.0,0.2763,0.0263,0.1538
