,Sample,Mode,Radius[cm],Thickness[cm],NPanels,Theta[deg],Length[cm],Ge-77[nevents],Ge-77_CNP,Ge-77_CNP_err,rGe77[nuc/(kg*yr)]
0,0,0.0,169.6,3.1,157.0,12.1,6.7,62.0,0.1866,0.0196,0.1844
1,1,0.0,224.6,2.8,160.0,2.6,2.4,82.0,0.203,0.0213,0.2401
2,2,0.0,181.8,4.3,187.0,56.9,16.1,70.0,0.2658,0.0229,0.21
3,3,0.0,169.1,3.1,104.0,2.8,8.4,62.0,0.185,0.0195,0.1846
4,0,1.0,169.6,3.1,157.0,12.1,6.7,501.0,0.145,0.0173,0.1993
5,1,1.0,224.6,2.8,160.0,2.6,2.4,573.0,0.1261,0.0161,0.2045
6,2,1.0,181.8,4.3,187.0,56.9,16.1,375.0,0.146,0.0171,0.1443
7,3,1.0,169.1,3.1,104.0,2.8,8.4,540.0,0.1532,0.0178,0.2072
